TEAM_ID|DIVISION|LEAGUE|PREFIX_1|PREFIX_2|TEAM|URL
Green Bay Packers|NFC North|nfl|gb|green-bay-packers|Green Bay Packers|http://www.espn.com/nfl/team/_/name/gb/green-bay-packers
Minnesota Vikings|NFC North|nfl|min|minnesota-vikings|Minnesota Vikings|http://www.espn.com/nfl/team/_/name/min/minnesota-vikings
Baltimore Ravens|AFC North|nfl|bal|baltimore-ravens|Baltimore Ravens|http://www.espn.com/nfl/team/_/name/bal/baltimore-ravens
Cincinnati Bengals|AFC North|nfl|cin|cincinnati-bengals|Cincinnati Bengals|http://www.espn.com/nfl/team/_/name/cin/cincinnati-bengals
Cleveland Browns|AFC North|nfl|cle|cleveland-browns|Cleveland Browns|http://www.espn.com/nfl/team/_/name/cle/cleveland-browns
Pittsburgh Steelers|AFC North|nfl|pit|pittsburgh-steelers|Pittsburgh Steelers|http://www.espn.com/nfl/team/_/name/pit/pittsburgh-steelers
Atlanta Falcons|NFC South|nfl|atl|atlanta-falcons|Atlanta Falcons|http://www.espn.com/nfl/team/_/name/atl/atlanta-falcons
Carolina Panthers|NFC South|nfl|car|carolina-panthers|Carolina Panthers|http://www.espn.com/nfl/team/_/name/car/carolina-panthers
New Orleans Saints|NFC South|nfl|no|new-orleans-saints|New Orleans Saints|http://www.espn.com/nfl/team/_/name/no/new-orleans-saints
Tampa Bay Buccaneers|NFC South|nfl|tb|tampa-bay-buccaneers|Tampa Bay Buccaneers|http://www.espn.com/nfl/team/_/name/tb/tampa-bay-buccaneers
Houston Texans|AFC South|nfl|hou|houston-texans|Houston Texans|http://www.espn.com/nfl/team/_/name/hou/houston-texans
Indianapolis Colts|AFC South|nfl|ind|indianapolis-colts|Indianapolis Colts|http://www.espn.com/nfl/team/_/name/ind/indianapolis-colts
Jacksonville Jaguars|AFC South|nfl|jax|jacksonville-jaguars|Jacksonville Jaguars|http://www.espn.com/nfl/team/_/name/jax/jacksonville-jaguars
Tennessee Titans|AFC South|nfl|ten|tennessee-titans|Tennessee Titans|http://www.espn.com/nfl/team/_/name/ten/tennessee-titans
Atlanta Dream|Eastern Conference|wnba|atl|atlanta-dream|Atlanta Dream|http://www.espn.com/wnba/team/_/name/atl/atlanta-dream
Chicago Sky|Eastern Conference|wnba|chi|chicago-sky|Chicago Sky|http://www.espn.com/wnba/team/_/name/chi/chicago-sky
Connecticut Sun|Eastern Conference|wnba|conn|connecticut-sun|Connecticut Sun|http://www.espn.com/wnba/team/_/name/conn/connecticut-sun
Indiana Fever|Eastern Conference|wnba|ind|indiana-fever|Indiana Fever|http://www.espn.com/wnba/team/_/name/ind/indiana-fever
New York Liberty|Eastern Conference|wnba|ny|new-york-liberty|New York Liberty|http://www.espn.com/wnba/team/_/name/ny/new-york-liberty
Washington Mystics|Eastern Conference|wnba|wsh|washington-mystics|Washington Mystics|http://www.espn.com/wnba/team/_/name/wsh/washington-mystics
Dallas Wings|Western Conference|wnba|dal|dallas-wings|Dallas Wings|http://www.espn.com/wnba/team/_/name/dal/dallas-wings
Los Angeles Sparks|Western Conference|wnba|la|los-angeles-sparks|Los Angeles Sparks|http://www.espn.com/wnba/team/_/name/la/los-angeles-sparks
Minnesota Lynx|Western Conference|wnba|min|minnesota-lynx|Minnesota Lynx|http://www.espn.com/wnba/team/_/name/min/minnesota-lynx
Phoenix Mercury|Western Conference|wnba|phx|phoenix-mercury|Phoenix Mercury|http://www.espn.com/wnba/team/_/name/phx/phoenix-mercury
San Antonio Stars|Western Conference|wnba|sa|san-antonio-stars|San Antonio Stars|http://www.espn.com/wnba/team/_/name/sa/san-antonio-stars
Seattle Storm|Western Conference|wnba|sea|seattle-storm|Seattle Storm|http://www.espn.com/wnba/team/_/name/sea/seattle-storm
Albany|America East|mens-college-basketball|399|albany-great-danes|Albany|http://www.espn.com/mens-college-basketball/team/_/id/399/albany-great-danes
Binghamton|America East|mens-college-basketball|2066|binghamton-bearcats|Binghamton|http://www.espn.com/mens-college-basketball/team/_/id/2066/binghamton-bearcats
Hartford|America East|mens-college-basketball|42|hartford-hawks|Hartford|http://www.espn.com/mens-college-basketball/team/_/id/42/hartford-hawks
Maine|America East|mens-college-basketball|311|maine-black-bears|Maine|http://www.espn.com/mens-college-basketball/team/_/id/311/maine-black-bears
UNH|America East|mens-college-basketball|160|new-hampshire-wildcats|UNH|http://www.espn.com/mens-college-basketball/team/_/id/160/new-hampshire-wildcats
Stony Brook|America East|mens-college-basketball|2619|stony-brook-seawolves|Stony Brook|http://www.espn.com/mens-college-basketball/team/_/id/2619/stony-brook-seawolves
UMass Lowell|America East|mens-college-basketball|2349|umass-lowell-river-hawks|UMass Lowell|http://www.espn.com/mens-college-basketball/team/_/id/2349/umass-lowell-river-hawks
UMBC|America East|mens-college-basketball|2378|umbc-retrievers|UMBC|http://www.espn.com/mens-college-basketball/team/_/id/2378/umbc-retrievers
Vermont|America East|mens-college-basketball|261|vermont-catamounts|Vermont|http://www.espn.com/mens-college-basketball/team/_/id/261/vermont-catamounts
Cincinnati|American|mens-college-basketball|2132|cincinnati-bearcats|Cincinnati|http://www.espn.com/mens-college-basketball/team/_/id/2132/cincinnati-bearcats
UConn|American|mens-college-basketball|41|connecticut-huskies|UConn|http://www.espn.com/mens-college-basketball/team/_/id/41/connecticut-huskies
ECU|American|mens-college-basketball|151|east-carolina-pirates|ECU|http://www.espn.com/mens-college-basketball/team/_/id/151/east-carolina-pirates
Houston|American|mens-college-basketball|248|houston-cougars|Houston|http://www.espn.com/mens-college-basketball/team/_/id/248/houston-cougars
Memphis|American|mens-college-basketball|235|memphis-tigers|Memphis|http://www.espn.com/mens-college-basketball/team/_/id/235/memphis-tigers
SMU|American|mens-college-basketball|2567|smu-mustangs|SMU|http://www.espn.com/mens-college-basketball/team/_/id/2567/smu-mustangs
USF|American|mens-college-basketball|58|south-florida-bulls|USF|http://www.espn.com/mens-college-basketball/team/_/id/58/south-florida-bulls
Temple|American|mens-college-basketball|218|temple-owls|Temple|http://www.espn.com/mens-college-basketball/team/_/id/218/temple-owls
Tulane|American|mens-college-basketball|2655|tulane-green-wave|Tulane|http://www.espn.com/mens-college-basketball/team/_/id/2655/tulane-green-wave
Tulsa|American|mens-college-basketball|202|tulsa-golden-hurricane|Tulsa|http://www.espn.com/mens-college-basketball/team/_/id/202/tulsa-golden-hurricane
UCF|American|mens-college-basketball|2116|ucf-knights|UCF|http://www.espn.com/mens-college-basketball/team/_/id/2116/ucf-knights
Wichita State|American|mens-college-basketball|2724|wichita-state-shockers|Wichita State|http://www.espn.com/mens-college-basketball/team/_/id/2724/wichita-state-shockers
Davidson|Atlantic 10|mens-college-basketball|2166|davidson-wildcats|Davidson|http://www.espn.com/mens-college-basketball/team/_/id/2166/davidson-wildcats
Dayton|Atlantic 10|mens-college-basketball|2168|dayton-flyers|Dayton|http://www.espn.com/mens-college-basketball/team/_/id/2168/dayton-flyers
Duquesne|Atlantic 10|mens-college-basketball|2184|duquesne-dukes|Duquesne|http://www.espn.com/mens-college-basketball/team/_/id/2184/duquesne-dukes
Fordham|Atlantic 10|mens-college-basketball|2230|fordham-rams|Fordham|http://www.espn.com/mens-college-basketball/team/_/id/2230/fordham-rams
George Mason|Atlantic 10|mens-college-basketball|2244|george-mason-patriots|George Mason|http://www.espn.com/mens-college-basketball/team/_/id/2244/george-mason-patriots
G Washington|Atlantic 10|mens-college-basketball|45|george-washington-colonials|G Washington|http://www.espn.com/mens-college-basketball/team/_/id/45/george-washington-colonials
La Salle|Atlantic 10|mens-college-basketball|2325|la-salle-explorers|La Salle|http://www.espn.com/mens-college-basketball/team/_/id/2325/la-salle-explorers
UMass|Atlantic 10|mens-college-basketball|113|massachusetts-minutemen|UMass|http://www.espn.com/mens-college-basketball/team/_/id/113/massachusetts-minutemen
URI|Atlantic 10|mens-college-basketball|227|rhode-island-rams|URI|http://www.espn.com/mens-college-basketball/team/_/id/227/rhode-island-rams
Richmond|Atlantic 10|mens-college-basketball|257|richmond-spiders|Richmond|http://www.espn.com/mens-college-basketball/team/_/id/257/richmond-spiders
Saint Joe's|Atlantic 10|mens-college-basketball|2603|saint-joseph's-hawks|Saint Joe's|http://www.espn.com/mens-college-basketball/team/_/id/2603/saint-joseph's-hawks
Saint Louis|Atlantic 10|mens-college-basketball|139|saint-louis-billikens|Saint Louis|http://www.espn.com/mens-college-basketball/team/_/id/139/saint-louis-billikens
St Bonaventure|Atlantic 10|mens-college-basketball|179|st.-bonaventure-bonnies|St Bonaventure|http://www.espn.com/mens-college-basketball/team/_/id/179/st.-bonaventure-bonnies
